movement_id,origin_code,origin_name,origin_district,origin_sub_district,origin_X,origin_Y,origin_in_cluster,cluster_name,destination_LBM_CY_id,destination_district,destination_sub_district,destination_X,destination_Y,species,number,weekly_volume
D-BGR-065-1-02-OUT,D-BGR-065,H. Andang,BOGOR,TANJUNGSARI,107.2483549,-6.250873707,No,,,BOGOR,TANJUNGSARI,107.137789,-6.61206,BR,100,700
D-BGR-066-1-01-OUT,D-BGR-066,BAPAK KANO,BOGOR,TANJUNGSARI,107.15485,-6.64745,No,,D-BGR-064,BOGOR,TANJUNGSARI,106.771933,-6.473867,AK,15,105
D-BGR-070-1-01-OUT,D-BGR-070,NANO KARNO,BOGOR,TANJUNGSARI,107.1317,-6.505883,No,,D-BGR-069,BOGOR,TANJUNGSARI,106.48825,-6.214483,BR,200,1400
D-BGR-073-1-01-OUT,D-BGR-073,SUJARI,BOGOR,SUKAMAKMUR,107.012567,-6.62365,No,,D-BGR-076,BOGOR,SUKAMAKMUR,106.761733,-6.6389,AK,10,10
D-BGR-074-1-01-OUT,D-BGR-074,ABIDIN,BOGOR,SUKAMAKMUR,107.023967,-6.593617,No,,D-BGR-051,BOGOR,JONGGOL,107.06585,-6.465417,AK,20,40
D-BGR-076-1-01-OUT,D-BGR-076,iDING,BOGOR,SUKAMAKMUR,107.024783,-6.61005,No,,,BOGOR,JONGGOL,107.046967,-6.495464,AK,10,30
D-BGR-076-1-02-OUT,D-BGR-076,iDING,BOGOR,SUKAMAKMUR,107.024783,-6.61005,No,,D-BGR-051,BOGOR,JONGGOL,107.06585,-6.465417,AK,10,30
D-BGR-078-1-01-OUT,D-BGR-078,BAPAK SUMARNA,BOGOR,SUKAMAKMUR,107.126483,-6.517067,No,,D-BGR-237,BOGOR,CILEUNGSI,106.777567,-6.240117,AK,35,35
D-BGR-079-1-01-OUT,D-BGR-079,BAPAK ACE,BOGOR,SUKAMAKMUR,107.126267,-6.5148,No,,,KOTA DEPOK,BEJI,106.818822,-6.373273,AK,60,420
D-BGR-085-5-01-OUT,D-BGR-093,Pak Maman,BOGOR,TAJUR HALANG,106.776933,-6.47795,No,,,BOGOR,TAJUR HALANG,106.75919,-6.46783,BR,30,30
D-BGR-085-5-02-OUT,D-BGR-093,Pak Maman,BOGOR,TAJUR HALANG,106.776933,-6.47795,No,,,BOGOR,TAJUR HALANG,106.75919,-6.46783,BR,100,100
D-BGR-085-5-03-OUT,D-BGR-093,Pak Maman,BOGOR,TAJUR HALANG,106.776933,-6.47795,No,,,BOGOR,RANCA BUNGUR,106.713306,-6.521803,BR,100,100
D-BGR-085-5-04-OUT,D-BGR-093,Pak Maman,BOGOR,TAJUR HALANG,106.776933,-6.47795,No,,,BOGOR,SUKARAJA,106.840359,-6.57995,BR,200,200
D-BGR-088-2-01-OUT,D-BGR-089,cv Nagra chicken,BOGOR,TAJUR HALANG,106.784067,-6.4856,No,,D-BGR-108,BOGOR,BOJONG GEDE,106.79525,-6.489683,BR,500,3500
D-BGR-088-2-02-OUT,D-BGR-089,cv Nagra chicken,BOGOR,TAJUR HALANG,106.784067,-6.4856,No,,D-BGR-107,BOGOR,BOJONG GEDE,106.798617,-6.451033,BR,200,1400
D-BGR-088-2-03-OUT,D-BGR-089,cv Nagra chicken,BOGOR,TAJUR HALANG,106.784067,-6.4856,No,,,BOGOR,CIBINONG,106.835521,-6.484212,BR,2350,9400
D-BGR-088-2-04-OUT,D-BGR-089,cv Nagra chicken,BOGOR,TAJUR HALANG,106.784067,-6.4856,No,,,BOGOR,BOJONG GEDE,106.791968,-6.477506,BR,1000,6000
D-BGR-088-2-05-OUT,D-BGR-089,cv Nagra chicken,BOGOR,TAJUR HALANG,106.784067,-6.4856,No,,,BOGOR,TAJUR HALANG,106.75919,-6.46783,BR,300,300
D-BGR-092-3-01-OUT,D-BGR-097,pak amil/kimi,BOGOR,TAJUR HALANG,106.771933,-6.473867,No,,,BOGOR,PARUNG,106.71303,-6.435132,AK,20,140
D-BGR-098-1-01-OUT,D-BGR-098,ASMAN,BOGOR,TAJUR HALANG,106.7556,-6.472467,No,,D-BGR-003,BOGOR,PARUNG,106.7295,-6.423567,LA,6,6
D-BGR-098-1-02-OUT,D-BGR-098,ASMAN,BOGOR,TAJUR HALANG,106.7556,-6.472467,No,,,BOGOR,TAJUR HALANG,106.75919,-6.46783,BR,5,5
D-BGR-098-1-03-OUT,D-BGR-098,ASMAN,BOGOR,TAJUR HALANG,106.7556,-6.472467,No,,,BOGOR,TAJUR HALANG,106.75919,-6.46783,AK,10,10
D-BGR-098-2-01-OUT,D-BGR-099,NAAM,BOGOR,TAJUR HALANG,106.75605,-6.4726,No,,,BOGOR,TAJUR HALANG,106.75919,-6.46783,BR,5,5
D-BGR-098-2-02-OUT,D-BGR-099,NAAM,BOGOR,TAJUR HALANG,106.75605,-6.4726,No,,,BOGOR,TAJUR HALANG,106.75919,-6.46783,AK,10,10
D-BGR-105-1-01-OUT,D-BGR-105,MST GROUP,BOGOR,BOJONG GEDE,107.2483549,-6.250873707,No,,D-BGR-107,BOGOR,BOJONG GEDE,106.798617,-6.451033,BR,100,700
D-BGR-109-1-01-OUT,D-BGR-109,AGUS SUTRISNO,BOGOR,BOJONG GEDE,106.7811,-6.50225,No,,D-BGR-107,BOGOR,BOJONG GEDE,106.798617,-6.451033,BR,75,525
D-BGR-109-1-02-OUT,D-BGR-109,AGUS SUTRISNO,BOGOR,BOJONG GEDE,106.7811,-6.50225,No,,D-BGR-108,BOGOR,BOJONG GEDE,106.79525,-6.489683,BR,135,945
D-BGR-109-1-03-OUT,D-BGR-109,AGUS SUTRISNO,BOGOR,BOJONG GEDE,106.7811,-6.50225,No,,M-DPK-010,KOTA DEPOK,CIMANGGIS,106.868117,-6.377417,BR,45,315
D-BGR-117-2-01-OUT,D-BGR-118,BAPAK NAHROWI,BOGOR,BOJONG GEDE,106.795983,-6.46015,No,,,KOTA DEPOK,CIPAYUNG,106.802303,-6.429127,BR,60,60
D-BGR-125-1-01-OUT,D-BGR-125,MENTARI,BOGOR,BOJONG GEDE,106.793,-6.499917,No,,,,,106.7827,-6.153317,BR,,
D-BGR-125-1-02-OUT,D-BGR-125,MENTARI,BOGOR,BOJONG GEDE,106.793,-6.499917,No,,,,,106.7827,-6.153317,BR,,
D-BGR-131-1-01-OUT,D-BGR-131,PD HMS,BOGOR,CILEUNGSI,106.964483,-6.411433,No,,,BOGOR,CILEUNGSI,106.996152,-6.409775,BR,500,3000
D-BGR-138-1-01-OUT,D-BGR-138,Alatas,BOGOR,KELAPA NUNGGAL,106.972033,-6.455117,No,,,BOGOR,CILEUNGSI,106.996152,-6.409775,BR,250,250
