code,name,district,sub_district,X,Y,type
D-TGR-012,Market Officer,KOTA TANGERANG SELATAN,CIPUTAT,106.7462333,-6.324383333,LBM
D-TGR-015,PASAR CIPUTAT,KOTA TANGERANG SELATAN,CIPUTAT,106.7464167,-6.312483333,LBM
D-TGR-017,Rahman,KOTA TANGERANG SELATAN,CIPUTAT,106.7071,-6.290983333,LBM
D-TGR-027,PASAR CEGER,KOTA TANGERANG SELATAN,PONDOK AREN,106.6884,-6.271166667,LBM
D-TGR-030,PASAR KELAPA DUA,TANGERANG,KELAPA DUA,106.6098514,-6.242163736,LBM
D-TGR-034,PASAR SEPATAN,TANGERANG,SEPATAN,106.5739833,-6.11995,LBM
D-TGR-037,Ade/Dede Jai,TANGERANG,SEPATAN,106.5737833,-6.117283333,LBM
D-TGR-044,PASAR CIKUPA,TANGERANG,CIKUPA,106.5196833,-6.222416667,LBM
D-TGR-046,Aspuri,TANGERANG,CIKUPA,106.52005,-6.2303,LBM
D-TGR-047,Aman,TANGERANG,CIKUPA,106.5196333,-6.230883333,LBM
D-TGR-048,Rabis,TANGERANG,CIKUPA,106.5195667,-6.230766667,LBM
D-TGR-049,Usen,TANGERANG,CIKUPA,106.5196833,-6.2308,LBM
D-TGR-052,Iwan,TANGERANG,CIKUPA,106.5200833,-6.23035,LBM
D-TGR-053,PASAR BANTENG,TANGERANG,KOSAMBI,106.6918667,-6.09105,LBM
D-TGR-057,Saiful,TANGERANG,KOSAMBI,106.6918667,-6.09105,LBM
D-TGR-058,Rojak,TANGERANG,KOSAMBI,106.6915667,-6.0912,LBM
D-TGR-059,PASAR CURUG,TANGERANG,CURUG,106.5548167,-6.257733333,LBM
D-TGR-064,PASAR GUDANG,TANGERANG,TIGARAKSA,106.4672167,-6.267933333,LBM
D-TGR-072,Market Officer,KOTA TANGERANG SELATAN,SERPONG,106.6639333,-6.320616667,LBM
D-TGR-073,PASAR MODERN BSD,KOTA TANGERANG SELATAN,SERPONG,106.6853,-6.30535,LBM
D-TGR-074,H. Ayub,TANGERANG,BALARAJA,106.4170167,-6.302133333,LBM
D-TGR-075,Sidin,TANGERANG,JAYANTI,106.4169833,-6.3021,LBM
D-TGR-076,Sura,TANGERANG,BALARAJA,106.44865,-6.17965,LBM
D-TGR-077,H. Rais,TANGERANG,SUKAMULYA,106.4315167,-6.17965,LBM
D-TGR-078,PASAR SENTIONG,TANGERANG,BALARAJA,106.4818667,-6.179616667,LBM
D-TGR-082,Darmono,KOTA TANGERANG SELATAN,PAMULANG,106.7120333,-6.323916667,LBM
D-TGR-083,Dayat,KOTA TANGERANG SELATAN,PAMULANG,106.7144333,-6.334316667,LBM
D-TGR-086,Supriyono,KOTA TANGERANG SELATAN,PAMULANG,106.74055,-6.349666667,LBM
D-TGR-087,Eko,KOTA TANGERANG SELATAN,PAMULANG,106.74055,-6.349666667,LBM
D-TGR-088,Market Officer,KOTA TANGERANG SELATAN,PAMULANG,106.71165,-6.324783333,LBM
D-TGR-089,Romli,KOTA TANGERANG SELATAN,PAMULANG,106.71165,-6.324783333,LBM
D-TGR-090,PASAR KUTA BUMI,TANGERANG,PASARKEMIS,106.5691833,-6.158066667,LBM
D-TGR-091,Pasar Bukit,KOTA TANGERANG SELATAN,CIPUTAT,106.7146167,-6.316383333,LBM
