movement_id,origin_code,origin_name,origin_district,origin_sub_district,origin_x,origin_y,species,number,weekly_volume,type_destination,name_destination,destination_lbm_cy_id,destination_district,destination_sub_district,destination_x_original,destination_y_original,xy,point_x_subdistrict,point_y_subdistrict,object_id_destination,in_km_distance_origin_destination,origin_in_cluster,cluster_name
D-BGR-059-1-01-OUT,D-BGR-059,MAMAN,BOGOR,TANJUNGSARI,107.154283,-6.580633,AK,10,70,LBM,PASAR CARIU,,BOGOR,CARIU,107.137273,-6.527022,subdistrict coordinate,107.1372733,-6.527022357,1921,41.33463057,No,
D-BGR-061-1-01-OUT,D-BGR-061,BAPAK ASRIP,BOGOR,TANJUNGSARI,107.149,-6.588283,AK,20,40,LBM,PASAR JONGGOL,,BOGOR,JONGGOL,107.046967,-6.495464,subdistrict coordinate,107.0469673,-6.495463977,1923,31.24959437,No,
D-BGR-061-1-02-OUT,D-BGR-061,BAPAK ASRIP,BOGOR,TANJUNGSARI,107.149,-6.588283,AK,10,10,LBM,PASAR CARIU,,BOGOR,CARIU,107.137273,-6.527022,subdistrict coordinate,107.1372733,-6.527022357,1921,41.67494109,No,
D-BGR-062-1-01-OUT,D-BGR-062,HAMIM,BOGOR,TANJUNGSARI,107.146367,-6.584583,AK,25,50,LBM,pasar Jonggol,D-BGR-051,BOGOR,JONGGOL,107.06585,-6.465417,original coordinate,107.0469673,-6.495463977,1923,41.76020802,No,
D-BGR-062-1-02-OUT,D-BGR-062,HAMIM,BOGOR,TANJUNGSARI,107.146367,-6.584583,AK,20,20,LBM,PASAR CARIU,,BOGOR,CARIU,107.137273,-6.527022,subdistrict coordinate,107.1372733,-6.527022357,1921,52.19996084,No,
D-BGR-063-1-01-OUT,D-BGR-063,BAPAK UJAY,BOGOR,TANJUNGSARI,107.14705,-6.600167,AK,20,40,LBM,PASAR CARIU,,BOGOR,CARIU,107.137273,-6.527022,subdistrict coordinate,107.1372733,-6.527022357,1921,41.69324937,No,
D-BGR-064-1-01-OUT,D-BGR-064,NASIM,BOGOR,TANJUNGSARI,107.167817,-6.640167,AK,90,630,LBM,pasar Jonggol,D-BGR-051,BOGOR,JONGGOL,107.06585,-6.465417,original coordinate,107.0469673,-6.495463977,1923,32.92248573,No,
D-BGR-064-1-02-OUT,D-BGR-064,NASIM,BOGOR,TANJUNGSARI,107.167817,-6.640167,AK,10,70,AB,rumah makan,,BOGOR,TANJUNGSARI,107.137789,-6.61206,subdistrict coordinate,107.1377889,-6.612059888,1922,43.659539,No,
D-BGR-065-1-01-OUT,D-BGR-065,H. Andang,BOGOR,TANJUNGSARI,107.2483549,-6.250873707,BR,100,700,LBM,Pasar Rebo,,BOGOR,TANJUNGSARI,107.137789,-6.61206,subdistrict coordinate,107.1377889,-6.612059888,1922,41.36040463,No,
D-BGR-065-1-02-OUT,D-BGR-065,H. Andang,BOGOR,TANJUNGSARI,107.2483549,-6.250873707,BR,100,700,LBM,Pasar Sabtu,,BOGOR,TANJUNGSARI,107.137789,-6.61206,subdistrict coordinate,107.1377889,-6.612059888,1922,41.36040463,No,
D-BGR-066-1-01-OUT,D-BGR-066,BAPAK KANO,BOGOR,TANJUNGSARI,107.15485,-6.64745,AK,15,105,CY,Nasim,D-BGR-064,BOGOR,TANJUNGSARI,106.771933,-6.473867,original coordinate,107.1377889,-6.612059888,1922,22.66166269,No,
D-BGR-070-1-01-OUT,D-BGR-070,NANO KARNO,BOGOR,TANJUNGSARI,107.1317,-6.505883,BR,200,1400,CY,H. OJAN,D-BGR-069,BOGOR,TANJUNGSARI,106.48825,-6.214483,original coordinate,107.1377889,-6.612059888,1922,9.591463125,No,
D-BGR-073-1-01-OUT,D-BGR-073,SUJARI,BOGOR,SUKAMAKMUR,107.012567,-6.62365,AK,10,10,CY,BAPAK IDING,D-BGR-076,BOGOR,SUKAMAKMUR,106.761733,-6.6389,original coordinate,107.0180343,-6.592124804,1920,41.74570345,No,
D-BGR-074-1-01-OUT,D-BGR-074,ABIDIN,BOGOR,SUKAMAKMUR,107.023967,-6.593617,AK,20,40,LBM,PASAR JONGGOL,D-BGR-051,BOGOR,JONGGOL,107.06585,-6.465417,original coordinate,107.0469673,-6.495463977,1923,41.03332399,No,
D-BGR-076-1-01-OUT,D-BGR-076,iDING,BOGOR,SUKAMAKMUR,107.024783,-6.61005,AK,10,30,LBM,PASAR DAYEUH,,BOGOR,JONGGOL,107.046967,-6.495464,subdistrict coordinate,107.0469673,-6.495463977,1923,35.57528952,No,
D-BGR-076-1-02-OUT,D-BGR-076,iDING,BOGOR,SUKAMAKMUR,107.024783,-6.61005,AK,10,30,LBM,PASAR JONGGOL,D-BGR-051,BOGOR,JONGGOL,107.06585,-6.465417,original coordinate,107.0469673,-6.495463977,1923,38.97104438,No,
D-BGR-078-1-01-OUT,D-BGR-078,BAPAK SUMARNA,BOGOR,SUKAMAKMUR,107.126483,-6.517067,AK,35,35,CY,Bapak Ade,D-BGR-237,BOGOR,CILEUNGSI,106.777567,-6.240117,original coordinate,106.9961522,-6.409775022,1924,35.37476435,No,
D-BGR-079-1-01-OUT,D-BGR-079,BAPAK ACE,BOGOR,SUKAMAKMUR,107.126267,-6.5148,AK,60,420,LBM,Pasar Kemiri,,KOTA DEPOK,BEJI,106.818822,-6.373273,subdistrict coordinate,106.8188222,-6.373272589,2509,45.95291948,No,
D-BGR-085-5-01-OUT,D-BGR-093,Pak Maman,BOGOR,TAJUR HALANG,106.776933,-6.47795,BR,30,30,AB,Tajur Halang,,BOGOR,TAJUR HALANG,106.75919,-6.46783,subdistrict coordinate,106.7591896,-6.467830162,1930,34.40586446,No,
D-BGR-085-5-02-OUT,D-BGR-093,Pak Maman,BOGOR,TAJUR HALANG,106.776933,-6.47795,BR,100,100,AB,Inkopat,,BOGOR,TAJUR HALANG,106.75919,-6.46783,subdistrict coordinate,106.7591896,-6.467830162,1930,34.40586446,No,
D-BGR-085-5-03-OUT,D-BGR-093,Pak Maman,BOGOR,TAJUR HALANG,106.776933,-6.47795,BR,100,100,AB,Cendali,,BOGOR,RANCA BUNGUR,106.713306,-6.521803,subdistrict coordinate,106.7133056,-6.521803492,1932,38.5708099,No,
D-BGR-085-5-04-OUT,D-BGR-093,Pak Maman,BOGOR,TAJUR HALANG,106.776933,-6.47795,BR,200,200,AB,Cilebut,,BOGOR,SUKARAJA,106.840359,-6.57995,subdistrict coordinate,106.8403588,-6.579949947,1918,49.32107112,No,
D-BGR-088-2-01-OUT,D-BGR-089,cv Nagra chicken,BOGOR,TAJUR HALANG,106.784067,-6.4856,BR,500,3500,LBM,,D-BGR-108,BOGOR,BOJONG GEDE,106.79525,-6.489683,original coordinate,106.7919676,-6.47750627,1929,38.31589561,No,
D-BGR-088-2-02-OUT,D-BGR-089,cv Nagra chicken,BOGOR,TAJUR HALANG,106.784067,-6.4856,BR,200,1400,LBM,,D-BGR-107,BOGOR,BOJONG GEDE,106.798617,-6.451033,original coordinate,106.7919676,-6.47750627,1929,34.76762308,No,
D-BGR-088-2-03-OUT,D-BGR-089,cv Nagra chicken,BOGOR,TAJUR HALANG,106.784067,-6.4856,BR,2350,9400,AB,pedagang keliling,,BOGOR,CIBINONG,106.835521,-6.484212,subdistrict coordinate,106.8355206,-6.484212417,1928,40.01027631,No,
D-BGR-088-2-04-OUT,D-BGR-089,cv Nagra chicken,BOGOR,TAJUR HALANG,106.784067,-6.4856,BR,1000,6000,AB,Rumah Makan,,BOGOR,BOJONG GEDE,106.791968,-6.477506,subdistrict coordinate,106.7919676,-6.47750627,1929,36.96138039,No,
D-BGR-088-2-05-OUT,D-BGR-089,cv Nagra chicken,BOGOR,TAJUR HALANG,106.784067,-6.4856,BR,300,300,AB,waraga sekitar,,BOGOR,TAJUR HALANG,106.75919,-6.46783,subdistrict coordinate,106.7591896,-6.467830162,1930,34.4819964,No,
D-BGR-092-3-01-OUT,D-BGR-097,pak amil/kimi,BOGOR,TAJUR HALANG,106.771933,-6.473867,AK,20,140,LBM,pasar parung,,BOGOR,PARUNG,106.71303,-6.435132,subdistrict coordinate,106.7130303,-6.435132238,1933,29.39425473,No,
