movement_id,origin_district,type,species,number,weekly_volume,destination_code,destination_name,destination_x,destination_y,destination_district,destination_subdistrict,point_x_subdistrict_destination,point_y_subdistrict_destination,object_id_subdistrict_destination,in_km_distance_origin_district_destination,destination_in_cluster,destination_cluster_name,cy_id
M-JKT-114-1-01-IN,TEGAL,Br,BR,2000,6000,M-JKT-114,PD Pasar Minggu,106.87225,-6.2876,JAKARTA TIMUR,KRAMAT JATI,106.8654648,-6.276215712,1872,268.5835234,No,,M-JKT-114-1
M-JKT-114-1-02-IN,SEMARANG,Br,BR,2000,6000,M-JKT-114,PD Pasar Minggu,106.87225,-6.2876,JAKARTA TIMUR,KRAMAT JATI,106.8654648,-6.276215712,1872,417.5978079,No,,M-JKT-114-1
M-JKT-115-1-01-IN,BEKASI,CY,BR,300,2100,M-JKT-115-CY,PASAR CIJANTUNG (ISNAINI),106.863517,-6.307667,JAKARTA TIMUR,PASAR REBO,106.8568114,-6.327117925,1868,30.51253618,No,,M-JKT-115-1
M-JKT-117-1-01-IN,JAKARTA TIMUR,CY,BR,300,2100,M-JKT-117-CY,PD PASAR JAYA CIRACAS (MIDIANTO),106.871933,-6.329917,JAKARTA TIMUR,CIRACAS,106.8783116,-6.333634584,1869,8.743710846,No,,M-JKT-117-1
M-JKT-118-1-01-IN,JAKARTA TIMUR,CY,BR,300,2100,M-JKT-118-CY,PD PASAR JAYA CIBUBUR (WARJU),106.87225,-6.3456,JAKARTA TIMUR,CIRACAS,106.8783116,-6.333634584,1869,10.3488774,No,,M-JKT-118-1
M-JKT-120-1-01-IN,JAKARTA TIMUR,CY,BR,150,150,M-JKT-120-CY,Pasar Jaya Rawamangun,106.890083,-6.198683,JAKARTA TIMUR,PULO GADUNG,106.8889122,-6.193299382,1876,6.301659644,No,,M-JKT-120-1
M-JKT-121-1-01-IN,JAKARTA TIMUR,CY,BR,100,700,M-JKT-121-CY,PASAR KLENDER SS (IYEM),106.90195,-6.21295,JAKARTA TIMUR,CAKUNG,106.9403369,-6.188741675,1875,4.641670619,No,,M-JKT-121-1
M-JKT-122-1-01-IN,JAKARTA TIMUR,CY,BR,150,150,M-JKT-122-CY,Pasar Enjo,106.875633,-6.212367,JAKARTA TIMUR,PULO GADUNG,106.8889122,-6.193299382,1876,5.45076392,No,,M-JKT-122-1
M-JKT-123-1-01-IN,JAKARTA TIMUR,CY,BR,100,100,M-JKT-123-CY,Pasar Pulogadung,106.904983,-6.187133,JAKARTA TIMUR,PULO GADUNG,106.8889122,-6.193299382,1876,7.479120491,No,,M-JKT-123-1
M-JKT-124-1-01-IN,JAKARTA TIMUR,CY,BR,150,150,M-JKT-124-CY,Pasar Ampera,106.884667,-6.1861,JAKARTA TIMUR,PULO GADUNG,106.8889122,-6.193299382,1876,7.772238628,No,,M-JKT-124-1
